This table is produced by alphabetarandomizer.pro
This table was produced with 50000 iterations of alpha and beta combinations

Pulsar #       Jname             Period (s)     % W<rho      % W>rho      % W=rho      % W=NaN
      86        J1707-4729      0.26647400     0.758000      11.9520      0.00000      87.2900
      87        J1708-3426      0.69211300     0.412000      7.83400      0.00000      91.7540
      88        J1709-1640      0.65305400     0.414000      7.90400      0.00000      91.6820
      89        J1715-4034       2.0721530     0.178000      4.56800      0.00000      95.2540
      90        J1717-3425      0.65629900     0.444000      7.82200      0.00000      91.7340
      91        J1717-4054      0.88771800     0.326000      6.72000      0.00000      92.9540
      92        J1717-5800      0.32179300     0.616000      10.7020      0.00000      88.6820
      93        J1720-2933      0.62044800     0.382000      8.39600      0.00000      91.2220
      94        J1722-3207      0.47715800     0.474000      8.78200      0.00000      90.7440
      95        J1722-3632      0.39918300     0.516000      9.67400      0.00000      89.8100
      96        J1727-2739       1.2931000     0.272000      5.77000      0.00000      93.9580
      97        J1733-2228      0.87168300     0.340000      6.93000      0.00000      92.7300
      98        J1738-3211      0.76849900     0.394000      7.47200      0.00000      92.1340
      99        J1739-3131      0.52944100     0.462000      8.53200      0.00000      91.0060
     100        J1741-2733      0.89295900     0.298000      6.72800      0.00000      92.9740
     101        J1741-3016       1.8937490     0.218000      4.82600      0.00000      94.9560
     102        J1741-3927      0.51221100     0.422000      8.79800      0.00000      90.7800
     103        J1743-3150       2.4145760     0.198000      4.33400      0.00000      95.4680
     104        J1749-3002      0.60987400     0.448000      7.97200      0.00000      91.5800
     105        J1750-3157      0.91036300     0.376000      6.84400      0.00000      92.7800
     106        J1751-4657      0.74235200     0.394000      7.54800      0.00000      92.0580
     107        J1752-2806      0.56255800     0.406000      8.47400      0.00000      91.1200
     108        J1807-0847      0.16372700     0.820000      14.6820      0.00000      84.4980
     109        J1817-3618      0.38701700     0.552000      10.0620      0.00000      89.3860
     110        J1820-0427      0.59807600     0.396000      8.29800      0.00000      91.3060
     111        J1822-2256       1.8742690     0.236000      4.81000      0.00000      94.9540
     112        J1822-4209      0.45651200     0.470000      9.58800      0.00000      89.9420
     113        J1823-3106      0.28405400     0.590000      11.7780      0.00000      87.6320
     114        J1825-0935      0.76900600     0.388000      7.42200      0.00000      92.1900
     115        J1829-1751      0.30713300     0.686000      10.8060      0.00000      88.5080
     116        J1845-0434      0.48675100     0.500000      9.08200      0.00000      90.4180
     117        J1848-0123      0.65943200     0.400000      7.81600      0.00000      91.7840
     118        J1852-0635      0.52415100     0.496000      8.54400      0.00000      90.9600
     119        J1900-2600      0.61220900     0.458000      8.12000      0.00000      91.4220
     120        J1913-0440      0.82593600     0.336000      6.88000      0.00000      92.7840
     121        J1941-2602      0.40285800     0.482000      10.0040      0.00000      89.5140
     122        J2048-1616       1.9615720     0.256000      4.60000      0.00000      95.1440
     123        J2330-2005       1.6436220     0.220000      5.09000      0.00000      94.6900
     124        J2346-0609       1.1814630     0.316000      5.88400      0.00000      93.8000
