This table is produced by alphabetarandomizer.pro
This table was produced with 50000 iterations of alpha and beta combinations

Pulsar #       Jname             Period (s)     rhonaught       % W<rho      % W>rho      % W=rho      % W=NaN
      73       J1649-3805      0.26202600      0.23235596      3.01000      9.54200      0.00000      87.4480
      74       J1651-4246      0.84408100      0.12945951      1.57000      5.93600      0.00000      92.4940
      75       J1651-5222      0.63505600      0.14925194      2.00600      6.53400      0.00000      91.4600
      76       J1652-2404       1.7037390     0.091122259      1.10600      3.98600      0.00000      94.9080
      77       J1653-3838      0.30503700      0.21535242      2.80600      9.18600      0.00000      88.0080
      78       J1653-4249      0.61255800      0.15196809      2.08000      6.78800      0.00000      91.1320
      79       J1700-3312       1.3583070      0.10205330      1.27000      4.50800      0.00000      94.2220
      80       J1701-4533      0.32290900      0.20930805      2.69800      8.71600      0.00000      88.5860
      81       J1703-3241       1.2117850      0.10804713      1.36200      4.87400      0.00000      93.7640
      82       J1703-4851       1.3964010      0.10065166      1.17600      4.52800      0.00000      94.2960
      83       J1705-1906      0.29898700      0.21752033      2.90400      8.82000      0.00000      88.2760
      84       J1705-3423      0.25542600      0.23533876      3.00800      9.80000      0.00000      87.1920
      85       J1707-4053      0.58101700      0.15603844      1.99600      6.87000      0.00000      91.1340
      86       J1707-4729      0.26647400      0.23040855      3.05000      9.37200      0.00000      87.5780
      87       J1708-3426      0.69211300      0.14296756      1.85400      6.10000      0.00000      92.0460
      88       J1709-1640      0.65305400      0.14718090      1.95600      6.36000      0.00000      91.6840
      89       J1715-4034       2.0721530     0.082625690     0.942000      3.64200      0.00000      95.4160
      90       J1717-3425      0.65629900      0.14681659      1.82800      6.28000      0.00000      91.8920
      91       J1717-4054      0.88771800      0.12623753      1.59200      5.60800      0.00000      92.8000
      92       J1717-5800      0.32179300      0.20967068      2.83400      8.71400      0.00000      88.4520
      93       J1720-2933      0.62044800      0.15099874      1.87600      6.49800      0.00000      91.6260
      94       J1722-3207      0.47715800      0.17218484      2.15600      7.40200      0.00000      90.4420
      95       J1722-3632      0.39918300      0.18825217      2.40600      8.19400      0.00000      89.4000
      96       J1727-2739       1.2931000      0.10459477      1.30200      4.62200      0.00000      94.0760
      97       J1733-2228      0.87168300      0.12739334      1.55200      5.62800      0.00000      92.8200
      98       J1738-3211      0.76849900      0.13567641      1.73600      6.17600      0.00000      92.0880
      99       J1739-3131      0.52944100      0.16346216      2.20800      6.83200      0.00000      90.9600
     100       J1741-2733      0.89295900      0.12586653      1.56400      5.47600      0.00000      92.9600
     101       J1741-3016       1.8937490     0.086430057      1.04800      3.90600      0.00000      95.0460
     102       J1741-3927      0.51221100      0.16618873      2.10200      7.16400      0.00000      90.7340
     103       J1743-3150       2.4145760     0.076543016     0.922000      3.53200      0.00000      95.5460
     104       J1749-3002      0.60987400      0.15230212      1.94200      6.47600      0.00000      91.5820
     105       J1750-3157      0.91036300      0.12465759      1.58800      5.63800      0.00000      92.7740
     106       J1751-4657      0.74235200      0.13804512      1.64000      6.24600      0.00000      92.1140
     107       J1752-2806      0.56255800      0.15857779      2.11200      6.65800      0.00000      91.2300
     108       J1807-0847      0.16372700      0.29394485      4.05000      11.6780      0.00000      84.2720
     109       J1817-3618      0.38701700      0.19118816      2.43200      8.14200      0.00000      89.4260
